class_name,table_name,inbound_fks,outbound_fks,status
Agent,agents,5,1,CONNECTED
AssetType,asset_types,2,1,CONNECTED
Asset,assets,4,3,CONNECTED
DomainEvent,domain_events,3,3,CONNECTED
Organization,organizations,5,1,CONNECTED
Policy,policies,2,1,CONNECTED
Alarm,tmf_alarm,2,4,CONNECTED
CustomerAccount,tmf_customer_account,1,1,CONNECTED
Party,tmf_party,11,1,CONNECTED
GeographicLocation,tmf_place,3,1,CONNECTED
Product,tmf_product,1,3,CONNECTED
ProductOffering,tmf_product_offering,2,1,CONNECTED
ProductOrder,tmf_product_order,1,3,CONNECTED
Resource,tmf_resource,6,3,CONNECTED
Service,tmf_service,4,3,CONNECTED
Role,roles,1,0,ISOLATED_SINK
ProductSpecification,tmf_product_spec,1,0,ISOLATED_SINK
ResourceSpecification,tmf_resource_spec,1,0,ISOLATED_SINK
ServiceSpecification,tmf_service_spec,2,0,ISOLATED_SINK
AgentRoles,agent_roles,0,3,ISOLATED_SOURCE
EventParticipants,event_participants,0,2,ISOLATED_SOURCE
ObservationRecord,observations,0,3,ISOLATED_SOURCE
PolicyApplication,policy_applications,0,4,ISOLATED_SOURCE
Agreement,tmf_agreement,0,2,ISOLATED_SOURCE
PartyRole,tmf_party_role,0,1,ISOLATED_SOURCE
PerformanceIndicator,tmf_performance_indicator,0,3,ISOLATED_SOURCE
ResourceRelationship,tmf_resource_relationship,0,2,ISOLATED_SOURCE
ServiceOrder,tmf_service_order,0,3,ISOLATED_SOURCE
ServiceProblem,tmf_service_problem,0,4,ISOLATED_SOURCE
Attachment,tmf_attachment,0,0,ORPHAN
Characteristic,tmf_characteristic,0,0,ORPHAN
Note,tmf_note,0,0,ORPHAN
Policy,tmf_policy,0,0,ORPHAN
UserRole,tmf_user_role,0,0,ORPHAN
