tmf_api_id,api_name,version,sid_class,sid_domain,url_pattern,covered_in_schema,schema_table,entity_name
TMF620,Product Catalog Management API,v5.0,ProductOffering,Product,/tmf-api/productCatalogManagement/v5/,NO,,
TMF622,Product Ordering Management API,v5.0,ProductOrder,Product,/tmf-api/productOrderingManagement/v5/productOrder,NO,,
TMF629,Customer Management API,v4.0,Party,EngagedParty,/tmf-api/customerManagement/v4/customer,NO,,
TMF632,Party Management API,v5.0,Party,EngagedParty,/tmf-api/partyManagement/v5/individual,NO,,
TMF633,Service Catalog Management API,v4.0,ServiceSpecification,Service,/tmf-api/serviceCatalogManagement/v4/serviceSpecification,NO,,
TMF634,Resource Catalog Management API,v4.0,ResourceSpecification,Resource,/tmf-api/resourceCatalog/v4/resourceSpecification,NO,,
TMF637,Product Inventory Management API,v4.0,Product,Product,/tmf-api/productInventory/v4/product,NO,,
TMF638,Service Inventory Management API,v4.0,Service,Service,/tmf-api/serviceInventory/v4/service,NO,,
TMF639,Resource Inventory Management API,v5.0,Resource,Resource,/tmf-api/resourceInventoryManagement/v5/resource,NO,,
TMF641,Service Order Management API,v4.0,ServiceOrder,Service,/tmf-api/serviceOrdering/v4/serviceOrder,NO,,
TMF642,Alarm Management API,v4.0,Alarm,Resource,/tmf-api/alarmManagement/v4/alarm,NO,,
TMF651,Agreement Management API,v4.0,Agreement,EngagedParty,/tmf-api/agreementManagement/v4/agreement,NO,,
TMF656,Service Problem Management API,v4.0,ServiceProblem,Service,/tmf-api/serviceProblemManagement/v4/serviceProblem,NO,,
TMF666,Account Management API,v5.0,CustomerAccount,EngagedParty,/tmf-api/accountManagement/v5/partyAccount,NO,,
TMF669,Party Role Management API,v5.0,PartyRole,EngagedParty,/tmf-api/partyRoleManagement/v5/partyRole,NO,,
TMF672,User Roles and Permissions API,v4.0,UserRole,Enterprise,/tmf-api/userRolesPermissions/v4/userRole,NO,,
TMF673,Geographic Address Management API,v4.0,GeographicPlace,Common,/tmf-api/geographicAddressManagement/v4/geographicAddress,NO,,
TMF688,Event Management API,v4.0,BusinessInteraction,Enterprise,/tmf-api/eventManagement/v4/event,NO,,
