outcome,source_ref,format,entity_type,entity_id,confidence,message
rejected,/var/log/system.log:1,syslog,,,0.55,[no entity match] ASL Sender Statistics
rejected,/var/log/system.log:2,syslog,,,0.55,[no entity match] ASL Sender Statistics
rejected,/var/log/system.log:3,syslog,,,0.55,[no entity match] ASL Sender Statistics
rejected,/var/log/system.log:4,syslog,,,0.55,[no entity match] Configuration Notice:
rejected,/var/log/system.log:5,syslog,,,0.4,"[no entity match] 	ASL Module ""com.apple.cdscheduler"" claims selected messages."
rejected,/var/log/system.log:6,syslog,,,0.4,[no entity match] 	Those messages may not appear in standard system log files or in the ASL databa
rejected,/var/log/system.log:7,syslog,,,0.55,[no entity match] Configuration Notice:
rejected,/var/log/system.log:8,syslog,,,0.4,"[no entity match] 	ASL Module ""com.apple.install"" claims selected messages."
rejected,/var/log/system.log:9,syslog,,,0.4,[no entity match] 	Those messages may not appear in standard system log files or in the ASL databa
rejected,/var/log/system.log:10,syslog,,,0.55,[no entity match] Configuration Notice:
rejected,/var/log/system.log:11,syslog,,,0.4,"[no entity match] 	ASL Module ""com.apple.authd"" sharing output destination ""/var/log/asl"" with ASL"
rejected,/var/log/system.log:12,syslog,,,0.4,"[no entity match] 	Output parameters from ASL Module ""com.apple.asl"" override any specified in ASL"
rejected,/var/log/system.log:13,syslog,,,0.55,[no entity match] Configuration Notice:
rejected,/var/log/system.log:14,syslog,,,0.4,"[no entity match] 	ASL Module ""com.apple.authd"" sharing output destination ""/var/log/system.log"" w"
rejected,/var/log/system.log:15,syslog,,,0.4,"[no entity match] 	Output parameters from ASL Module ""com.apple.asl"" override any specified in ASL"
rejected,/var/log/system.log:16,syslog,,,0.55,[no entity match] Configuration Notice:
rejected,/var/log/system.log:17,syslog,,,0.4,"[no entity match] 	ASL Module ""com.apple.authd"" claims selected messages."
rejected,/var/log/system.log:18,syslog,,,0.4,[no entity match] 	Those messages may not appear in standard system log files or in the ASL databa
rejected,/var/log/system.log:19,syslog,,,0.55,[no entity match] Configuration Notice:
rejected,/var/log/system.log:20,syslog,,,0.4,"[no entity match] 	ASL Module ""com.apple.eventmonitor"" claims selected messages."
rejected,/var/log/system.log:21,syslog,,,0.4,[no entity match] 	Those messages may not appear in standard system log files or in the ASL databa
rejected,/var/log/system.log:22,syslog,,,0.55,[no entity match] Configuration Notice:
rejected,/var/log/system.log:23,syslog,,,0.4,"[no entity match] 	ASL Module ""com.apple.mail"" claims selected messages."
